onset,duration,trial_type,response_time,word,response,correct_resp,gender,age,sub,ses,run,year,month,day,hour,minute
280.99152549996506,0.6966315000317991,word_pos,0.6890088999643922,peaceful,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
290.99048359994777,0.6978382000234546,word_neg,0.7390478999586776,election,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
300.99067740002647,0.6976648999843746,word_pos,0.5220542999450117,tulip,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
310.9908783000428,0.6975142000010237,word_pos,0.7056295000948012,tangerine,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
320.991119000013,0.6973523999331519,word_pos,0.6724097001133487,friendly,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
330.99233120004646,0.6961445999331772,word_neg,0.6055621999548748,jealousy,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
340.99080809997395,0.6978924999712035,word_neg,0.7058267000829801,banker,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
350.9913264999632,0.6972973000956699,word_neu,0.7058678999310359,newspaper,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
360.9912457000464,0.6975650999229401,word_neu,0.8055430999957025,mushroom,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
370.99083450005855,0.6981198999565663,word_pos,0.6390120999421924,wit,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
380.9910531999776,0.6978511000052094,word_neg,0.5891091999365017,curse,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
390.9915757999988,0.6973505000350997,word_pos,0.5724846000084653,applause,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
400.9913968000328,0.6976676000049338,word_neu,0.8058726999443024,ticket,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
410.9911714999471,0.698040800052695,word_pos,0.7554286998929456,tea,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
420.9914894000394,0.6978687999071553,word_neg,0.6389418999897316,riot,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
430.9916416000342,0.6976505999919027,word_neg,0.5223372000036761,dread,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
440.9917380999541,0.6977030000416562,word_neg,0.4889460999984294,screech,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
450.9917107999791,0.69795629999129,word_pos,0.3889337999280542,water,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
460.9920434999513,0.6976493000983623,word_neg,0.488900399999693,hierarchy,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
470.9921918000328,0.6975801999215037,word_neu,0.8391146999783814,engineer,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
480.9921120000072,0.6977000000188127,word_neg,0.6392719999421388,whine,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
490.9921766000334,0.6976958999875933,word_neu,0.7556917000329122,apricot,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
500.99183579999954,0.6981412000022829,word_neu,0.9558303999947384,desk,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
510.9926697999472,0.6973976000444964,word_pos,0.4388817000435665,intellect,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
520.9922049000161,0.697998599964194,word_neu,0.5056622000411153,clue,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
530.9923415000085,0.697959000011906,word_neg,0.6389136000070721,grief,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
540.9923912000377,0.6980195000069216,word_neu,0.6553784999996424,rum,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
550.9929568000371,0.697450099978596,word_neu,0.8225392000749707,editor,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
560.9927492999705,0.6977129000006244,word_neu,0.7559965000255033,stapler,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
570.9925141000422,0.6980756999691948,word_neg,0.572492300067097,mob,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
580.9930336000398,0.6976546999067068,word_neu,0.7059369999915361,company,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
